NRange_Upper,NRange_Lower,Feature_Limit,Score1,Score2,Score3,Score4,Score5,Time Elapsed
3,3,1000,0.8686006825938567,0.8811149032992036,0.8691695108077361,0.8748577929465301,0.8730791121229369,0:00:04
3,3,2000,0.8811149032992036,0.9084186575654153,0.897042093287827,0.8964732650739476,0.8901536710301651,0:00:04
3,3,3000,0.8936291240045506,0.9141069397042093,0.9004550625711035,0.9015927189988624,0.894137734775185,0:00:04
3,3,4000,0.9010238907849829,0.9135381114903299,0.9027303754266212,0.9050056882821388,0.9049516220830962,0:00:04
3,3,5000,0.90386803185438,0.9158134243458476,0.9072810011376564,0.9124004550625711,0.9026750142287991,0:00:04
3,3,6000,0.9050056882821388,0.9146757679180887,0.909556313993174,0.9118316268486917,0.9066590779738191,0:00:04
3,3,7000,0.9078498293515358,0.9163822525597269,0.9078498293515358,0.9135381114903299,0.9026750142287991,0:00:04
3,3,8000,0.9084186575654153,0.9158134243458476,0.9106939704209329,0.9124004550625711,0.9026750142287991,0:00:04
3,3,9000,0.9101251422070534,0.9146757679180887,0.9112627986348123,0.9135381114903299,0.9055207740466704,0:00:04
3,4,1000,0.8623435722411832,0.8805460750853242,0.8725824800910125,0.8794084186575654,0.8685258964143426,0:00:09
3,4,2000,0.8839590443686007,0.9089874857792947,0.8959044368600683,0.8947667804323094,0.8929994308480365,0:00:09
3,4,3000,0.8953356086461889,0.9129692832764505,0.8987485779294653,0.9032992036405005,0.8958451906659078,0:00:09
3,4,4000,0.9010238907849829,0.9118316268486917,0.9032992036405005,0.9055745164960182,0.9032441661923734,0:00:09
3,4,5000,0.9004550625711035,0.9158134243458476,0.9078498293515358,0.9106939704209329,0.9055207740466704,0:00:09
3,4,6000,0.9044368600682594,0.9158134243458476,0.9055745164960182,0.9118316268486917,0.9049516220830962,0:00:09
3,4,7000,0.9044368600682594,0.9146757679180887,0.906712172923777,0.9112627986348123,0.9032441661923734,0:00:09
3,4,8000,0.9027303754266212,0.9158134243458476,0.9072810011376564,0.9112627986348123,0.9043824701195219,0:00:09
3,4,9000,0.90386803185438,0.9146757679180887,0.9089874857792947,0.9106939704209329,0.9026750142287991,0:00:09
3,5,1000,0.8691695108077361,0.8845278725824801,0.8737201365187713,0.8771331058020477,0.8747865680136596,0:00:31
3,5,2000,0.8816837315130831,0.9072810011376564,0.8959044368600683,0.8953356086461889,0.8895845190665908,0:00:31
3,5,3000,0.8998862343572241,0.9124004550625711,0.8993174061433447,0.9004550625711035,0.8975526465566306,0:00:31
3,5,4000,0.8998862343572241,0.9135381114903299,0.9004550625711035,0.9055745164960182,0.9043824701195219,0:00:31
3,5,5000,0.9021615472127418,0.9158134243458476,0.9061433447098977,0.9084186575654153,0.9055207740466704,0:00:31
3,5,6000,0.9044368600682594,0.9158134243458476,0.9061433447098977,0.9106939704209329,0.9072282299373933,0:00:31
3,5,7000,0.90386803185438,0.9158134243458476,0.9055745164960182,0.9112627986348123,0.9032441661923734,0:00:31
3,5,8000,0.9055745164960182,0.9152445961319682,0.9084186575654153,0.9129692832764505,0.9038133181559477,0:00:32
3,5,9000,0.90386803185438,0.9141069397042093,0.9078498293515358,0.9106939704209329,0.9038133181559477,0:00:32
